ID,Where,Paper Link,Project Title,Parameters,Medium,Medium2,Medium3,Medium 4,Medium 5,Task 1,Task 2,Task 3,Explanation1,Explanation2,Explanation3,Pathaway,Joint,Verification,Task1,Task2,Task3,Data Type 1,Data Type 2,Data Type 3,User Group1,User Group2,Scenario1,Scenario2,Scenario3
1,VISXAI,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/,A visual Introduction to Machihne Learning,Images,Visualisation,text,,,,Understanding,,,Drill-Down Story,,,Guided,Linear,Reproduction,Understanding,,,Tabular,,,The Newcomer,,Desktop,,
2,x,https://isohale.com/VISUALIZING-ALGORITHMS,Visualisaing Algorithms,Audio,Visualisation,,,,,Understanding,,,Simplification,,,Serendipitous,Iterative,,Understanding,,,Tabular,,,The Newcomer,,Desktop,,
3,VISAP,https://visap.net/media/VISAP18-Catalogue.pdf,Decomposition of Human Portraits,Infographics,Images,Visualisation,,,,Understanding,,,Metaphorical Narrative,,,Serendipitous,Iterative,,Understanding,,,Images,,,The Lay,,Exhibition,,
4,VISXAI,https://distill.pub/2016/misread-tsne/,How to explain t-sne effectively,Video,,,,,,Understanding,,,Overview First and details On Demand,,,Guided,Linear,,Understanding,,,Tabular,,,The Newcomer,,Desktop,,
5,VISXAI,https://distill.pub/2016/handwriting/,Four Experiments in Handwriting with a Neural Network,Game,Visualisation,text,Video,,,Understanding,,,Explanation by Example,,,Guided,Linear,Transfer,Understanding,,,Images,,,The Newcomer,,Desktop,,
6,VISXAI,http://formafluens.io/index.html#third,Forma Fluens,Text,Visualisation,text,Images,Video,Game,Understanding,,,Comparison,,,Guided,Linear,,Understanding,,,Images,,,The Newcomer,The Lay,Exhibition,Desktop,Print
7,VISXAI,https://distill.pub/2019/visual-exploration-gaussian-processes/,A Visual Exploration of Gaussian Processes,Comic,Visualisation,,,,,Understanding,,,Define and Describe,,,Guided,Linear,,Understanding,,,Tabular,,,The Expert,,Desktop,,
8,VISXAI,https://distill.pub/2017/momentum/,Why momentum really Works,Dialog,Visualisation,,,,,Understanding,,,Define and Describe,,,Guided,Linear,,Understanding,,,Tabular,,,The Expert,,Desktop,,
9,VISXAI,https://research.google.com/bigpicture/attacking-discrimination-in-ml/,Attacking discrimination with smarter machine learning,Visualisation,Visualisation,,,,,Understanding,,,Define and Describe,,,Guided,Linear,,Understanding,,,Tabular,,,The Expert,,Desktop,,
10,VISXAI,https://parametric.press/issue-01/the-myth-of-the-impartial-machine/,The Myth of the impartial Machine,Describe and Define,Visualisation,,,,,Understanding,,,Define and Describe,,,Guided,Linear,,Understanding,,,Tabular,,,The Expert,,Desktop,,
11,VISXAI,https://idyll.pub/post/visxai-dimensionality-reduction-1dbad0a67a092b007c526a45/,The Beginner's Guide to Dimensionality Reduction,Teaching by Categories,Visualisation,Images,,,,Understanding,,,Drill-Down Story,,,Guided,Linear,,Understanding,,,Images,,,The Newcomer,,Desktop,,
12,VISXAI,https://theo-jaunet.github.io/MemoryReduction/,What if we Reduce the Memory of an Artificial Doom Player?,Divide and Conquer,Visualisation,Images,,,,Refinement,,,Example by Abnormality,,,Serendipitous,Linear,,Refinement,,,Images,Tabular,,The Expert,,Desktop,,
13,VISXAI,https://qnkxsovc.gitlab.io/prob-vis/,Statistical Distances and Their Implications to GAN Training,Explanation by Example,Visualisation,Images,,,,Refinement,,,Comparison,,,Guided,Linear,,Refinement,,,Tabular,,,The Expert,,Desktop,,
14,VISXAI,https://roadsfromabove.netlify.app/,Roads from Above,Simplification,Visualisation,Images,,,,Understanding,Diagnosis,,Comparison,,,Guided,Linear,,Understanding,Diagnosis,,Images,,,The Operator,,Desktop,,
